placeID,levelType,needItemID1,itemCount1,needItemID2,itemCount2,needItemID3,itemCount3,gold
1,4,1001,50,1002,45,1003,40,500
2,3,1001,40,1002,35,1003,30,300
3,5,1001,60,1002,55,1003,50,700
4,8,8033,4,8034,3,8035,3,1400
5,13,8033,3,8034,3,8035,5,3000
6,14,8033,5,8034,2,8035,4,3300
7,4,1001,50,1002,45,1003,40,500
8,0,0,0,0,0,0,0,0
9,3,1001,40,1002,35,1003,30,300
10,7,8033,2,8034,1,8035,3,1100
11,10,8033,3,8034,3,8035,2,2000
12,15,8033,5,8034,4,8035,2,3600
13,5,1001,60,1002,55,1003,50,700
14,2,1001,30,1002,25,1003,20,100
15,6,1001,70,1002,65,1003,60,900
16,8,8033,4,8034,3,8035,3,1400
17,11,8033,2,8034,4,8035,2,2300
18,16,8033,3,8034,3,8035,5,3900
19,9,8033,2,8034,2,8035,3,1700
20,6,1001,70,1002,65,1003,60,900
21,7,8033,2,8034,1,8035,3,1100
22,9,8033,2,8034,2,8035,3,1700
23,10,8033,3,8034,3,8035,2,2000
24,17,8033,2,8034,5,8035,4,4300
25,14,8033,5,8034,2,8035,4,3300
26,12,8033,1,8034,4,8035,3,2700
27,13,8033,3,8034,3,8035,5,3000
28,11,8033,2,8034,4,8035,2,2300
29,12,8033,1,8034,4,8035,3,2700
30,18,8033,4,8034,5,8035,4,4700
31,15,8033,5,8034,4,8035,2,3600
32,16,8033,3,8034,3,8035,5,3900
33,17,8033,2,8034,5,8035,4,4300
34,18,8033,4,8034,5,8035,4,4700
35,19,8033,5,8034,5,8035,4,5000
36,19,8033,5,8034,5,8035,4,5000
